,,,,,
,Part,Quantity,Price,Link,Notes
,PCB,5,25.86 + 25  for customs,https://jlcpcb.com/,"Yes, the shipment charges cost 25$. All this include the PCB the top case the bottom part and the buttons"
,Kailh Low Profile Choc Switches,14,€26.35,https://splitkb.com/products/kailh-low-profile-choc-switches,Dutch company avoiding potential customs
,Raspberrypi Pico,1,$0.99,https://es.aliexpress.com/item/1005003371056277.html?spm=a2g0o.productlist.main.1.64b0TBujTBujqQ&algo_pvid=f291c49f-37b8-4414-9bc8-1c92e40f57c4&pdp_ext_f=%7B%22order%22%3A%222296%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A,Aliexpress Quality
,Total cost,,"80,57,7",,
